"Informant","Northern","SentenceID","read","Version","InformantGroup","UniqueNumb","type","Realization","Reflexive","Adverb","Subcondition","WordOrder","Comment"
"T200","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Han Pål si at han ofte sette seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T201","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T202","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T203","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","N Pål sier at han sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"T204","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Pål sier han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T205","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T206","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T207","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Han Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T208","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Han Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T210","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T211","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Han Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T213","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",1,"A",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
